Date,T-Bill,US AggIndex,S&P 500,Russell 1000
2010-01-25,,,,
2010-01-26,0.0,-0.00017293835068055152,-0.004212292234611836,-0.004112311387734935
2010-01-27,0.0008326394671107629,-0.0004484362387731089,0.004880192644002301,0.004342503060740022
2010-01-28,0.0,-0.00014740943933144735,-0.011817767653758526,-0.012133635844976065
2010-01-29,-0.0008319467554077642,0.002448639466683611,-0.009829142577890915,-0.010452692584061452
2010-02-01,-0.0024896265560165887,-0.0015794151687799074,0.014266158846042876,0.014765613070697903
2010-02-02,0.0008305647840529673,0.001140002561803577,0.012972943196320141,0.013112906758421916
2010-02-03,-0.0008298755186720852,-0.0018551926201717528,-0.005474386397418707,-0.005634072440903304
2010-02-04,0.0008305647840529673,0.0031981439228856434,-0.031140638670166254,-0.03151481556472413
2010-02-05,0.0008312551953451042,0.0020635417531800204,0.002897160218604089,0.002705838201499944
2010-02-08,-0.0008305647840533004,-0.0016576346828178767,-0.0088633358031871,-0.008478428798971649
2010-02-09,-0.0008298755186720852,-0.001871128424548174,0.013040104472244796,0.013059942672074332
2010-02-10,-0.0008291873963515162,-0.0023800840707115523,-0.0022325598774426414,-0.00215228295119696
2010-02-11,0.0008298755186721962,-0.0008593875260541894,0.009680469605759523,0.010424854599366151
2010-02-12,0.0008305647840529673,0.0016111328639010214,-0.0027446289651079647,-0.001650362725427179
2010-02-16,0.0,0.0014675536073620599,0.01800076242898707,0.0181890710068473
2010-02-17,-0.0024855012427504874,-0.0027452310409480374,0.004237946057522812,0.0044058567681530825
2010-02-18,0.0,-0.0018095250317630152,0.0065847513892551834,0.0064541827401434215
2010-02-19,0.0008291873963515162,0.00037284649010027593,0.0021865823356674863,0.0021496406043957084
2010-02-22,0.0,0.0007968229896284651,-0.0010368113093575104,-0.0011651000904550068
2010-02-23,-0.0016556291390728006,0.003987363716916548,-0.012111694734752154,-0.012581680849562793
2010-02-24,0.0,-0.0002750011191906543,0.009720445824958901,0.009538636378740861
2010-02-25,-0.0008271298593880427,0.0017720061412487276,-0.002080995982772893,-0.001660607397191316
2010-02-26,0.0,0.0023882960720831292,0.0014053348323570525,0.0013979558193206731
2010-03-01,0.0,-0.00016563569066896378,0.010158534708326838,0.010797632060686624
2010-03-02,0.0,0.0007136257924749145,0.0023303546620536686,0.0030243954873478973
2010-03-03,0.0,0.00015917787809516248,0.000429219089518984,0.00014775989504167697
2010-03-04,0.0,0.0006366101781234423,0.003736179265098949,0.003436939386805893
2010-03-05,-0.0016515276630884035,-0.0021885457622372595,0.014007497974122263,0.014087355518450861
2010-03-08,0.0,-8.926408140885744e-05,-0.00016685694212703606,8.296385169259679e-05
2010-03-09,-0.0008250825082506408,0.0011414069275110794,0.001703981519705522,0.0017277384175320432
2010-03-10,0.0,-0.00037578899766244067,0.004524529790871812,0.004983166484582302
2010-03-11,0.0,0.00028035477622601057,0.004041515000742013,0.0038507676972883154
2010-03-12,0.0016528925619834212,0.0003630850765663496,-0.00021734594519406958,0.00011997354267667681
2010-03-15,-0.0016501650165016146,0.0006112897577128518,0.00045217784502482594,-6.313639513311209e-06
2010-03-16,-0.0016474464579901982,0.0020618425490483983,0.0077791588078330864,0.008163587432621133
2010-03-17,0.0008244023083265883,0.0006287111421585667,0.005821675607610377,0.005983870790976287
2010-03-18,-0.0008237232289952656,-0.0009773806199386836,-0.00032584182951622687,-0.0008637607989553375
2010-03-19,0.0008244023083265883,-0.0004955212502382178,-0.005086504893509258,-0.0055920396770013925
2010-03-22,0.0,0.0007436503699185248,0.005095266833347489,0.0057253044358185345
2010-03-23,0.0016515276630881814,0.00013337652192135785,0.007170979833763802,0.0073966317212550425
2010-03-24,-0.0008250825082506408,-0.005086683177748186,-0.005493242034799062,-0.005483937798199778
2010-03-25,0.0,-0.0023297525356006377,-0.0017041756585483014,-0.0025075748036146317
2010-03-26,0.0008257638315440907,0.0019513256218650632,0.0007377351530799547,0.0006654842761806279
2010-03-29,0.0,0.00021710118830986502,0.005683230612297363,0.005994720160731326
2010-03-30,-0.0016488046166526216,-0.0004851796760787508,4.261775285119285e-05,4.644581167156936e-05
2010-03-31,-0.0016460905349795496,0.00134766585551227,-0.0032729039351555578,-0.003334654397285197
2010-04-01,-0.000822368421052655,-0.0013713658804167528,0.007413868294810166,0.0076655431118843875
2010-04-05,0.0,-0.005499383634703037,0.007928019692725607,0.00883271031638988
2010-04-06,-0.0008216926869349939,0.0014065329925114778,0.001684295627568444,0.0019298500278857045
2010-04-07,0.0008223684210524329,0.004778060684577534,-0.005876715092816842,-0.005876001573847267
2010-04-08,0.0,-0.000848939782722602,0.0033743498668019622,0.0030052234741855255
2010-04-09,0.0,0.0006643966447970051,0.0066838609622061895,0.00697741288175413
2010-04-12,0.0008230452674897748,0.0030133365679885227,0.0017666217336338441,0.0017588466340414666
2010-04-13,0.0,0.001330286616298304,0.0006853436747793484,0.0008111665029171267
2010-04-14,0.0,-0.0015192158557826296,0.011150087697319178,0.011442569753014498
2010-04-15,-0.000822368421052655,0.0009931308449888654,0.0008425226118200513,0.000659045701823846
2010-04-16,0.0008230452674897748,0.003313511622730303,-0.016126503090775457,-0.015725849908393097
2010-04-19,0.0,-0.0017368594538401672,0.004521318983667699,0.003430834319292586
2010-04-20,0.0008237232289949326,0.00014604843728172057,0.00805832052909361,0.008626568983756133
2010-04-21,0.0,0.002317386749627115,-0.0010189120007952912,-0.0006821794883353771
2010-04-22,-0.0008230452674896638,-0.001526572496357792,0.002263794218617887,0.003079421405587368
